"label","numberOfGames","totalRevenue","averageRevenue","averagePrice","averagePlayTime","medianRevenue","top25","top5","bottom30"
"Action","36414","48516131173.70133","1332348.3048745354","8.565023617284647","4.718287319234302","647","10386","999981","80"
"Free To Play","7886","22079822163.61059","2799876.0035012164","0.04417829064164347","10.435167899138138","0","0","172718.5403166705","0"
"Adventure","34707","28711721011.649128","827260.2360229674","9.04122568933686","5.00100598774755","1042","13989","691027","144"
"Massively Multiplayer","2096","10139806560.359102","4837693.969636977","5.970935114503724","22.857634819079607","1044","34361.00173162514","7777172","9"
"Strategy","17092","12240421308.17896","716149.1521284203","9.87437514626523","9.380797388869155","1165","21235","1212558","131"
"RPG","15957","17655348280.28957","1106432.805683372","10.36617095945206","8.804132195171833","1882","33541","1757184","192"
"Indie","61648","15454923683.192621","250696.27049040716","7.1295501881588565","4.882558751182706","649","7745","312761","86"
"Early Access","8808","3413094360.8621936","387499.3597709121","8.718146003633557","5.864644518335278","566","7599","375145","80"
"Simulation","17802","11668754485.350653","655474.3559909365","10.898931580718134","8.12880531813982","1856","26474","1211080","242"
"Racing","3228","1397794942.451875","433021.97721557465","13.522636307310476","5.05279782121922","607","9863","658540","80"
"Sports","3859","1679567843.7937052","435233.9579667544","14.488535890125993","7.738188626143716","940","13728","630188","161"
"Casual","37627","4699990087.3978615","124910.04032736762","6.695640630393705","5.1536580826188505","417","3974","127800","61"