"name","totalRevenue","averageRevenue","medianRevenue","class","inHouse","numberOfGames","genres","Action","Free To Play","Strategy","Casual","Indie","Simulation","Adventure","Massively Multiplayer","Sports","RPG","Racing","Early Access"
"Valve","10614336757.387579","331698023.66836184","3392915","AAA","88","32","[object Object]","27","6","3","3","1","1","4","","","","",""
"KRAFTON, Inc.","4528120351.534278","1132030087.8835695","7225778","AAA","50","4","[object Object]","4","1","1","","","1","2","1","","","",""
"Electronic Arts","3149665464.5629263","24800515.46899942","2091040","AAA","1","127","[object Object]","71","4","35","20","9","22","38","2","18","23","18",""
"Ubisoft","1613801789.1249843","11527155.63660703","1223760","AAA","14","140","[object Object]","83","6","20","14","7","16","56","3","7","18","15","2"
"Xbox Game Studios","1395810705.34644","25378376.460844364","6686716","AAA","0","55","[object Object]","30","3","12","4","4","10","21","","1","8","4",""
"Bethesda Softworks","1330566046.4637232","21120095.975614652","5070204","AAA","6","63","[object Object]","44","6","1","1","","1","9","3","","21","",""
"SEGA","1308582139.999762","7035387.849461086","1031473.5","AA","28","186","[object Object]","97","2","61","16","12","13","42","1","8","32","7",""
"Activision","1150076978.366304","18549628.68332748","915571.5","AAA","6","62","[object Object]","36","1","6","2","","5","19","","2","4","",""
"Rockstar Games","1047418194.8428559","65463637.177678496","6210882.5","AAA","38","16","[object Object]","15","","1","","","","10","","","","",""
"Bandai Namco Entertainment","1030850183","36816077.96428572","4416001","AAA","0","28","[object Object]","22","1","1","7","","4","8","2","","11","",""
"2K","1012842935","14067262.986111112","1350777.5","AAA","0","72","[object Object]","27","","33","5","3","9","10","","11","15","1",""
"PlayStation Publishing LLC","942158262","55421074.23529412","22958942","AAA","0","17","[object Object]","14","","","2","1","","11","","","3","",""
"CAPCOM Co., Ltd.","915570522.9099028","21799298.164521497","3978477.5","AAA","100","42","[object Object]","33","3","1","","","","16","","","7","",""
"CD PROJEKT RED","912121455.416433","101346828.37960367","8307655","AAA","89","9","[object Object]","2","1","3","","1","","3","","","6","",""
"FromSoftware, Inc.","881783262","146963877","75044337.5","AAA","83","6","[object Object]","6","","","","","","","","","3","",""
"Larian Studios","861790163","107723770.375","2038551","AAA","100","8","[object Object]","1","","5","","2","","4","","","8","",""
"Bungie","860336835.8937498","860336835.8937498","860336835.8937498","AAA","100","1","[object Object]","1","1","","","","","1","","","","",""
"Game Science","837945889.7999299","418972944.8999649","418972944.8999649","AAA","100","2","[object Object]","1","1","1","","1","","1","","","1","","1"
"Feral Interactive (Mac)","737124383.9058026","19922280.646102775","9069000","AAA","0","37","[object Object]","22","","20","","","2","12","","","3","1",""
"Paradox Interactive","725137365.6059918","9668498.208079891","856811","AAA","0","75","[object Object]","6","1","61","2","15","27","11","","3","22","1","1"
"Square Enix","698676727.9765173","5175383.170196424","1034418","AA","62","135","[object Object]","64","3","13","7","3","6","39","3","","84","1",""
"Digital Extremes","675060082.1588248","675060082.1588248","675060082.1588248","AAA","100","1","[object Object]","1","1","","","","","","","","1","",""
"Aspyr (Mac)","656459286.662553","54704940.55521274","32768244","AAA","0","12","[object Object]","4","","8","1","","5","4","","","2","",""
"Feral Interactive (Linux)","603999154.8397397","25166631.45165582","18365490.5","AAA","0","24","[object Object]","10","","18","","","1","4","","","1","",""
"Warner Bros. Games","561712774.9905803","35107048.43691127","20978409.495290183","AAA","0","16","[object Object]","15","1","","","","","4","","1","2","",""
"Amazon Games","529912238.2345547","264956119.11727735","264956119.11727735","AAA","50","2","[object Object]","2","1","","","","","2","2","","2","",""
"Aspyr (Linux)","444786720","74131120","65525382.5","AA","0","6","[object Object]","3","","3","","","","","","","2","",""
"Pocketpair","410058590","102514647.5","8759421","AA","100","4","[object Object]","3","","1","2","3","1","3","","","3","","3"
"KONAMI","404377650.0955937","10641517.107778782","772415","AA","55","38","[object Object]","30","3","3","6","4","5","13","1","3","4","1",""
"Gaijin Network Ltd","400131210.03734833","66688535.00622472","4885649.273223466","AA","0","6","[object Object]","6","5","","","","2","3","6","","1","1","1"
"Bohemia Interactive","397765506.18955284","15910620.247582113","131549","AA","60","25","[object Object]","12","1","11","3","7","8","8","1","","","","2"
"Devolver Digital","389615672","3116925.376","557731","AA","0","125","[object Object]","88","4","16","21","105","14","62","2","5","11","2","2"
"Coffee Stain Publishing","384993149","29614857.615384616","3272209","AA","0","13","[object Object]","6","","5","6","9","3","5","","","2","","3"
"Focus Entertainment","384862504.8931627","5831250.0741388295","1908376","AA","3","66","[object Object]","31","","12","4","16","12","29","1","2","24","1","1"
"Snail Games USA","339773937.6919411","24269566.97799579","4122462.5","AA","21","14","[object Object]","12","1","3","4","8","4","9","8","","10","","6"
"Wargaming Group Limited","336060855.40931183","84015213.85232796","92443515.17957614","AA","100","4","[object Object]","4","4","1","","","4","","4","","","",""
"Facepunch Studios","334008686.7724316","111336228.92414387","467674","AA","100","3","[object Object]","2","","1","","3","","1","1","","1","",""
"BANDAI NAMCO Entertainment","331534781","5347335.177419355","2175857.5","AA","0","62","[object Object]","45","","3","6","4","2","16","","2","18","2",""
"NetEase Games Global","305547388.03398657","305547388.03398657","305547388.03398657","AA","0","1","[object Object]","1","","","","","","1","1","","","",""
"Techland","303489934","60697986.8","706717","AA","80","5","[object Object]","3","","","","1","","2","","","3","2",""
"Team17","293331581","6518479.577777778","971508","AA","11","45","[object Object]","25","1","15","10","36","16","23","1","1","13","","1"
"Studio Wildcard","291716493","97238831","62027672","AA","100","3","[object Object]","3","","1","","3","","3","3","","3","","1"
"Warner Bros. Interactive Entertainment","290710758","9377766.387096774","3019678","AA","0","31","[object Object]","25","","2","3","","","23","","","","",""
"Frontier Developments","268170814","26817081.4","21267907.5","AA","100","10","[object Object]","3","","8","2","","7","4","1","","1","",""
"THQ Nordic","258516540.56353584","1636180.6364780748","174718.5","AA","1","158","[object Object]","78","1","47","5","15","31","44","","14","51","14",""
"KOEI TECMO GAMES CO., LTD.","243541519.02968916","2435415.1902968916","726774","AA","98","100","[object Object]","31","","35","2","","10","9","","","32","",""
"Arc Games","238815687.92149976","18370437.532423057","5443172","AA","0","13","[object Object]","10","3","","1","5","","7","3","","8","",""
"Deep Silver","232477442","6642212.628571428","2277570","AA","0","35","[object Object]","30","","2","","3","3","12","","1","2","1","1"
"Hello Games","231327977","57831994.25","1084051","AA","100","4","[object Object]","3","","","2","3","","2","","","","2",""
"Klei Entertainment","219256604","18271383.666666668","4073652.5","AA","92","12","[object Object]","8","","3","1","11","4","5","","","3","1","1"